id,sid,time
18689,11502,27070
18689,11402,27079
18689,11403,27086
18689,11404,27093
18689,11305,27100
18689,11306,27107
18689,11307,27114
18689,11308,27121
18689,11309,27128
18689,11310,27135
18689,11411,27142
18689,11410,27149
18689,21411,27158
18689,21410,27174
18689,21310,27181
18689,21309,27188
18689,21209,27195
15367,11504,27200
18689,21109,27202
15367,11404,27208
18689,21009,27209
15367,11405,27215
18689,20909,27216
15367,11406,27222
18689,20809,27223
15367,11407,27229
10345,11502,27230
18689,20709,27230
15367,11408,27236
18689,20710,27237
10345,11402,27239
15367,11409,27243
18689,20611,27244
10345,11403,27246
15367,11310,27250
10345,11404,27253
15367,11411,27257
10345,11405,27260
15367,11410,27264
10345,11306,27267
15367,21411,27273
10345,11307,27274
10345,11308,27281
10345,11309,27288
15367,21410,27289
10345,11310,27295
15367,21310,27296
10345,11311,27302
15367,21209,27303
10345,11411,27309
15367,21109,27310
10345,11410,27316
15367,21009,27317
15367,20909,27324
10345,21411,27325
15367,20809,27331
15367,20709,27338
10345,21410,27341
15367,20710,27345
10345,21309,27348
15367,20711,27352
10345,21209,27355
10345,21109,27362
10345,21009,27369
10345,20909,27376
10345,20809,27383
10345,20709,27390
10345,20710,27397
10345,20611,27404
13300,11504,27430
13300,11404,27439
13300,11305,27446
11778,11502,27450
13300,11306,27453
11778,11402,27458
11251,11502,27460
13300,11307,27460
11778,11403,27465
13300,11308,27467
11251,11402,27468
11778,11404,27472
13300,11309,27474
11251,11403,27475
11778,11305,27479
13300,11310,27481
11251,11404,27482
11778,11306,27486
13300,11411,27488
11251,11405,27489
11876,11300,27490
11778,11307,27493
13300,11410,27495
11251,11305,27496
11876,11301,27499
11778,11308,27500
14859,11300,27500
11251,11306,27503
13300,21411,27504
11876,11302,27506
11778,11309,27507
14859,11301,27508
11251,11307,27510
11876,11403,27513
11778,11310,27514
14859,11402,27515
11251,11308,27517
11876,11404,27520
13300,21410,27520
11778,11411,27521
14859,11403,27522
11251,11309,27524
11876,11405,27527
13300,21309,27527
11778,11410,27528
14859,11404,27529
11251,11310,27531
11876,11305,27534
13300,21209,27534
14859,11405,27536
11778,21411,27537
11251,11411,27538
17516,11502,27540
11876,11306,27541
13300,21109,27541
14859,11306,27543
11251,11410,27545
11876,11307,27548
13300,21009,27548
17516,11402,27548
14859,11307,27550
11778,21410,27553
11251,21411,27554
17516,11403,27554
11876,11308,27555
13300,20909,27555
14859,11308,27557
11778,21310,27560
17516,11404,27560
11876,11309,27562
13300,20809,27562
14859,11209,27564
17516,11405,27566
11778,21209,27567
11876,11310,27569
13300,20709,27569
11251,21410,27570
16065,11300,27570
14859,11310,27571
17516,11406,27572
11778,21109,27574
11876,11411,27576
13300,20710,27576
11251,21310,27577
14859,11411,27578
17516,11407,27578
16065,11301,27579
11778,21009,27581
11876,11410,27583
13300,20611,27583
11251,21209,27584
17516,11308,27584
14859,11410,27585
16065,11401,27586
11778,20909,27588
17516,11309,27590
11251,21109,27591
11876,21411,27592
16065,11402,27593
14859,21411,27594
11778,20809,27595
17516,11310,27596
11251,21009,27598
16065,11403,27600
11778,20709,27602
17516,11411,27602
11251,20909,27605
16065,11304,27607
11876,21410,27608
17516,11410,27608
11778,20710,27609
14859,21410,27610
11251,20809,27612
16065,11405,27614
11876,21310,27615
14859,21310,27617
17516,21411,27617
11251,20709,27619
16065,11406,27621
11876,21210,27622
14859,21209,27624
11251,20710,27626
16065,11407,27628
11876,21209,27629
14859,21109,27631
11251,20611,27633
17516,21410,27633
16065,11308,27635
11876,21109,27636
14859,21009,27638
17516,21310,27639
16065,11309,27642
11876,21009,27643
14859,20909,27645
17516,21309,27645
16065,11310,27649
11876,20909,27650
17516,21209,27651
14859,20809,27652
16065,11411,27656
11876,20809,27657
17516,21109,27657
14859,20709,27659
16065,11410,27663
17516,21009,27663
11876,20709,27664
14859,20710,27666
17516,20909,27669
11876,20710,27671
16065,21411,27672
17516,20809,27675
11876,20611,27679
17516,20709,27681
17516,20710,27687
16065,21410,27688
17054,11504,27690
18367,11300,27690
